Experiment;Treatment;Embryo;Genotype;Feature;Frame
miR430 +/-_incross_plus_rescue_20201021;With rescue;1;miR430 -/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;1;miR430 -/-;Kupffer's vesicle;75
miR430 +/-_incross_plus_rescue_20201021;With rescue;2;miR430 +/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;2;miR430 +/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;3;miR430 +/-;100% Epiboly;63
miR430 +/-_incross_plus_rescue_20201021;With rescue;3;miR430 +/-;Kupffer's vesicle;74
miR430 +/-_incross_plus_rescue_20201021;With rescue;4;miR430 +/+;100% Epiboly;62
miR430 +/-_incross_plus_rescue_20201021;With rescue;4;miR430 +/+;Kupffer's vesicle;71
miR430 +/-_incross_plus_rescue_20201021;With rescue;5;miR430 +/-;100% Epiboly;64
miR430 +/-_incross_plus_rescue_20201021;With rescue;5;miR430 +/-;Kupffer's vesicle;76
miR430 +/-_incross_plus_rescue_20201021;With rescue;6;miR430 +/-;100% Epiboly;62
miR430 +/-_incross_plus_rescue_20201021;With rescue;6;miR430 +/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;7;miR430 +/+;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;7;miR430 +/+;Kupffer's vesicle;76
miR430 +/-_incross_plus_rescue_20201021;With rescue;8;miR430 +/-;100% Epiboly;62
miR430 +/-_incross_plus_rescue_20201021;With rescue;8;miR430 +/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;9;miR430 +/+;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;9;miR430 +/+;Kupffer's vesicle;74
miR430 +/-_incross_plus_rescue_20201021;With rescue;10;miR430 -/-;100% Epiboly;62
miR430 +/-_incross_plus_rescue_20201021;With rescue;10;miR430 -/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;11;miR430 -/-;100% Epiboly;64
miR430 +/-_incross_plus_rescue_20201021;With rescue;11;miR430 -/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;12;miR430 +/-;100% Epiboly;59
miR430 +/-_incross_plus_rescue_20201021;With rescue;12;miR430 +/-;Kupffer's vesicle;72
miR430 +/-_incross_plus_rescue_20201021;With rescue;13;miR430 -/-;100% Epiboly;60
miR430 +/-_incross_plus_rescue_20201021;With rescue;13;miR430 -/-;Kupffer's vesicle;75
miR430 +/-_incross_plus_rescue_20201021;With rescue;14;miR430 +/+;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;15;miR430 +/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;15;miR430 +/-;Kupffer's vesicle;71
miR430 +/-_incross_plus_rescue_20201021;With rescue;16;miR430 +/-;100% Epiboly;65
miR430 +/-_incross_plus_rescue_20201021;With rescue;16;miR430 +/-;Kupffer's vesicle;76
miR430 +/-_incross_plus_rescue_20201021;With rescue;17;miR430 +/+;100% Epiboly;59
miR430 +/-_incross_plus_rescue_20201021;With rescue;17;miR430 +/+;Kupffer's vesicle;72
miR430 +/-_incross_plus_rescue_20201021;With rescue;18;miR430 -/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;18;miR430 -/-;Kupffer's vesicle;73
miR430 +/-_incross_plus_rescue_20201021;With rescue;19;miR430 +/-;100% Epiboly;62
miR430 +/-_incross_plus_rescue_20201021;With rescue;20;miR430 +/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;20;miR430 +/-;Kupffer's vesicle;74
miR430 +/-_incross_plus_rescue_20201021;With rescue;22;miR430 +/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;22;miR430 +/-;Kupffer's vesicle;72
miR430 +/-_incross_plus_rescue_20201021;With rescue;23;miR430 +/+;100% Epiboly;60
miR430 +/-_incross_plus_rescue_20201021;With rescue;23;miR430 +/+;Kupffer's vesicle;70
miR430 +/-_incross_plus_rescue_20201021;With rescue;24;miR430 +/+;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;24;miR430 +/+;Kupffer's vesicle;75
miR430 +/-_incross_plus_rescue_20201021;With rescue;25;miR430 +/+;100% Epiboly;60
miR430 +/-_incross_plus_rescue_20201021;With rescue;25;miR430 +/+;Kupffer's vesicle;71
miR430 +/-_incross_plus_rescue_20201021;With rescue;26;miR430 +/-;100% Epiboly;59
miR430 +/-_incross_plus_rescue_20201021;With rescue;26;miR430 +/-;Kupffer's vesicle;76
miR430 +/-_incross_plus_rescue_20201021;With rescue;27;miR430 +/-;100% Epiboly;60
miR430 +/-_incross_plus_rescue_20201021;With rescue;27;miR430 +/-;Kupffer's vesicle;72
miR430 +/-_incross_plus_rescue_20201021;With rescue;28;miR430 +/-;100% Epiboly;61
miR430 +/-_incross_plus_rescue_20201021;With rescue;28;miR430 +/-;Kupffer's vesicle;72
miR430 +/-_incross_plus_rescue_20201021;With rescue;29;miR430 +/-;100% Epiboly;59
miR430 +/-_incross_plus_rescue_20201021;With rescue;29;miR430 +/-;Kupffer's vesicle;71
miR430 +/-_incross_plus_rescue_20201021;With rescue;30;miR430 -/-;100% Epiboly;60
miR430 +/-_incross_plus_rescue_20201021;With rescue;30;miR430 -/-;Kupffer's vesicle;74
