gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000099106	ENSDARG00000099106	afmid	14.5292970937607	-5.76630630408576	1.82841710927592	1.4118510262781e-07	2.26352074431731e-05	FALSE	FALSE	down-regulated
ENSDARG00000079637	ENSDARG00000079637	alpk2	13.6225840508292	-5.30021739573933	1.86449183563844	6.15673648619902e-07	7.70392937065765e-05	FALSE	FALSE	down-regulated
ENSDARG00000095821	ENSDARG00000095821	si:dkey-122a22.2	7.97246219866706	-5.22694514981856	1.6438598100306	1.68845986016951e-07	2.65174343957846e-05	FALSE	FALSE	down-regulated
ENSDARG00000021149	ENSDARG00000021149	cbr1l	23.6290972023762	-5.18642883824271	1.73580807749355	3.8119720019436e-07	5.1920408037092e-05	FALSE	FALSE	down-regulated
ENSDARG00000075619	ENSDARG00000075619	cenpo	10.3605478114263	-4.9880963447121	1.84782699402851	1.34714577229738e-06	0.000146013525221331	FALSE	FALSE	down-regulated
ENSDARG00000099236	ENSDARG00000099236	sept10	14.3053503033805	-4.11922219202476	1.58465304187059	6.21317059892313e-06	0.00052255141359577	FALSE	FALSE	down-regulated
ENSDARG00000076889	ENSDARG00000076889	ralgapa1	25.396004949378	-4.03482097616402	1.13239990908564	4.17097041746282e-07	5.63117593817284e-05	FALSE	FALSE	down-regulated
ENSDARG00000008237	ENSDARG00000008237	sars1	29.1935154769076	-3.96242284229337	0.878160984813201	1.19923410902489e-08	2.49424488810838e-06	FALSE	FALSE	down-regulated
ENSDARG00000073923	ENSDARG00000073923	adck2	24.9117763463343	-3.8199124017494	0.781627816809055	3.36841984004812e-09	8.27820161669188e-07	FALSE	FALSE	down-regulated
ENSDARG00000092561	ENSDARG00000092561	pimr201	70.3236807604732	-3.76602964836945	1.19154263149915	3.13219382830043e-06	0.000299238694038765	FALSE	FALSE	down-regulated
ENSDARG00000054748	ENSDARG00000054748	cuedc1b	20.7683917307757	-3.74888709953793	0.875912309463114	6.65302060641467e-08	1.21394389330186e-05	FALSE	FALSE	down-regulated
ENSDARG00000116915	ENSDARG00000116915	si:ch211-133h13.1	14.5245465647467	-3.70569887990596	1.64183246667941	2.77100914682794e-05	0.00179951906239784	FALSE	FALSE	down-regulated
ENSDARG00000104488	ENSDARG00000104488	si:ch73-299h12.9	9.25333036992666	-3.65740460884937	1.4938354163162	2.12195557299474e-05	0.00145151192106498	FALSE	FALSE	down-regulated
ENSDARG00000115161	ENSDARG00000115161	CABZ01069162.1	11.5471477208258	-3.61112834124032	1.62338867576764	3.48020387667766e-05	0.00211714695122316	FALSE	FALSE	down-regulated
