gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000000001	ENSDARG00000000001	slc35a5	30.7816938407067	-0.0169276825274934	0.149995326474509	0.520281533675005	0.898400471880872	FALSE	FALSE	not DE
ENSDARG00000000002	ENSDARG00000000002	ccdc80	2.03777042765201	0.0667443239713852	0.527977672045733	0.590379969311685	NA	FALSE	FALSE	not DE
ENSDARG00000000018	ENSDARG00000000018	nrf1	18.5281426437625	0.0588289986232783	0.271761043386739	0.218031039209387	0.638354130381798	FALSE	FALSE	not DE
ENSDARG00000000019	ENSDARG00000000019	ube2h	75.2168180767506	0.00242603418482305	0.0844505266205457	0.866075812472382	0.994287599152348	FALSE	FALSE	not DE
ENSDARG00000000068	ENSDARG00000000068	slc9a3r1a	24.441250226557	-0.00771194740820024	0.107939317308071	0.678676999106779	0.949848581462818	FALSE	FALSE	not DE
ENSDARG00000000069	ENSDARG00000000069	dap	15.9962545595525	0.011208061777979	0.228017081185323	0.820687003259496	0.984757809976654	FALSE	FALSE	not DE
ENSDARG00000000086	ENSDARG00000000086	itsn1	25.2689835814697	-0.0366492069741118	0.243190272111105	0.429203649598502	0.850172098956182	FALSE	FALSE	not DE
ENSDARG00000000103	ENSDARG00000000103	myh10	18.2883987511797	-0.00881431328986413	0.19376085623689	0.827660148727671	0.987124620193247	FALSE	FALSE	not DE
ENSDARG00000000142	ENSDARG00000000142	tmem267	5.58728508732612	0.00214933181147204	0.23004146511675	0.966265351480858	NA	FALSE	FALSE	not DE
ENSDARG00000000151	ENSDARG00000000151	thraa	7.84152234336943	-0.0204029168275874	0.243366559881267	0.694204001342211	0.952156380007478	FALSE	FALSE	not DE
ENSDARG00000000161	ENSDARG00000000161	itsn2a	3.46148466818545	0.0310311549765673	0.36325944756716	0.71287026712894	NA	FALSE	FALSE	not DE
