gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000096273	ENSDARG00000096273	si:dkey-3n22.9	8.42361326770243	-11.8623273761945	8.05964016619784	NA	NA	FALSE	FALSE	not DE
ENSDARG00000099106	ENSDARG00000099106	afmid	14.5292970937607	-7.70069956360206	1.48287483024607	2.78124632210142e-09	1.07635639305475e-06	FALSE	FALSE	down-regulated
ENSDARG00000115161	ENSDARG00000115161	CABZ01069162.1	11.5471477208258	-7.0674264265527	1.74581043876386	7.50282469032424e-08	2.12169163921383e-05	FALSE	FALSE	down-regulated
ENSDARG00000075697	ENSDARG00000075697	si:ch73-380l3.2	7.88615989178612	-4.87254183793804	2.65677694030639	1.75174077847385e-05	0.00201018601216753	FALSE	FALSE	down-regulated
ENSDARG00000037507	ENSDARG00000037507	kctd12b	13.5565359096886	-4.78964232548598	2.19737250557184	6.72262227519297e-06	0.000925734316086573	FALSE	FALSE	down-regulated
ENSDARG00000012381	ENSDARG00000012381	hsc70	10.6639725301274	-4.18413718480452	2.57920509629327	3.40025659609333e-05	0.00338378215546243	FALSE	FALSE	down-regulated
ENSDARG00000104488	ENSDARG00000104488	si:ch73-299h12.9	9.25333036992666	-4.15656208129331	1.93814726371821	8.60316757659293e-06	0.00112594844415641	FALSE	FALSE	down-regulated
ENSDARG00000105206	ENSDARG00000105206	hmgcrb	31.5284078913567	-4.04585789773331	1.04057492240179	1.79831259912835e-08	5.77395102314842e-06	FALSE	FALSE	down-regulated
ENSDARG00000117211	ENSDARG00000117211	CR936462.1	43.8171278695689	-3.98048321073207	0.824235358671418	1.94895047679547e-10	9.61838529070736e-08	FALSE	FALSE	down-regulated
ENSDARG00000104296	ENSDARG00000104296	zgc:165508	15.6625349458976	-3.90556786768648	1.17036981678893	2.28857809613497e-07	5.49120041369596e-05	FALSE	FALSE	down-regulated
ENSDARG00000052011	ENSDARG00000052011	rrad	55.6140617068382	-3.85368894092541	0.965647827014454	1.71873104748427e-08	5.67038018082518e-06	FALSE	FALSE	down-regulated
ENSDARG00000096097	ENSDARG00000096097	si:dkeyp-98a7.4	8.19170990369407	-3.70647925440202	2.92008003135706	9.43412952475986e-05	0.00691661459046746	FALSE	FALSE	down-regulated
