gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000000001	ENSDARG00000000001	slc35a5	30.7816938407067	-0.0983790238803669	0.357192282960502	0.62230821991126	0.803967397453231	FALSE	FALSE	not DE
ENSDARG00000000002	ENSDARG00000000002	ccdc80	2.03777042765201	0.588474620846803	1.11332290657553	0.155975073722602	NA	FALSE	FALSE	not DE
ENSDARG00000000018	ENSDARG00000000018	nrf1	18.5281426437625	0.0891596399734551	0.371332832073157	0.656792456555239	0.822932382693339	FALSE	FALSE	not DE
ENSDARG00000000019	ENSDARG00000000019	ube2h	75.2168180767506	0.0169613320812128	0.301885778247322	0.930182762991633	0.967390071148617	FALSE	FALSE	not DE
ENSDARG00000000068	ENSDARG00000000068	slc9a3r1a	24.441250226557	-0.3641935679169	0.416662588713704	0.113682402634685	0.306165388506586	FALSE	FALSE	not DE
ENSDARG00000000069	ENSDARG00000000069	dap	15.9962545595525	0.448618916602113	0.703361732272	0.135664892843904	0.339761414558831	FALSE	FALSE	not DE
ENSDARG00000000086	ENSDARG00000000086	itsn1	25.2689835814697	-0.432173068618363	0.634690665434704	0.126542973920014	0.326468878118953	FALSE	FALSE	not DE
ENSDARG00000000103	ENSDARG00000000103	myh10	18.2883987511797	-0.301793887980515	0.572189425481889	0.236622904771486	0.481005061602644	FALSE	FALSE	not DE
ENSDARG00000000142	ENSDARG00000000142	tmem267	5.58728508732612	-0.00998073172572297	0.46681583524554	0.963146239773679	0.982936421228346	FALSE	FALSE	not DE
ENSDARG00000000151	ENSDARG00000000151	thraa	7.84152234336943	-0.0090678660735982	0.459394264653836	0.966231056920652	0.984837832523316	FALSE	FALSE	not DE
ENSDARG00000000161	ENSDARG00000000161	itsn2a	3.46148466818545	0.470856795668286	0.8860086669868	0.176127432831974	NA	FALSE	FALSE	not DE
ENSDARG00000000175	ENSDARG00000000175	hoxb2a	0.653199632923849	0.137033742270974	0.9120097036912	0.681610883938001	NA	FALSE	FALSE	not DE
ENSDARG00000000183	ENSDARG00000000183	ptpn4b	69.6412241411847	-0.205173835287592	0.46549200033844	0.359526166265716	0.606744989671395	FALSE	FALSE	not DE
ENSDARG00000000189	ENSDARG00000000189	sema6e	20.1785697254107	-0.258595405761227	0.419885719364833	0.241682878972954	0.487340687500804	FALSE	FALSE	not DE
ENSDARG00000000212	ENSDARG00000000212	krt97	48.9499930964049	2.46616771241321	1.45616611102929	0.00328461143118833	0.0253834622186496	FALSE	FALSE	not DE
ENSDARG00000000229	ENSDARG00000000229	usp49	2.86369037155397	0.458053850267752	0.920924942519492	0.197599343289529	NA	FALSE	FALSE	not DE
ENSDARG00000000241	ENSDARG00000000241	slc40a1	1.13509947484086	0.208574984228848	0.873662015728359	0.525588727731745	NA	FALSE	FALSE	not DE
ENSDARG00000000324	ENSDARG00000000324	dcaf8	36.653330510193	0.0728289906950726	0.319599582990945	0.709895541839568	0.855215950116354	FALSE	FALSE	not DE
ENSDARG00000000369	ENSDARG00000000369	prkag3b	0.439873441469658	-0.0394999198954399	1.22387574396592	0.905862762822118	NA	FALSE	FALSE	not DE
ENSDARG00000000370	ENSDARG00000000370	triob	8.86000478770833	-0.108309399990752	0.486353484326423	0.626426410009147	0.806237615562242	FALSE	FALSE	not DE
ENSDARG00000000380	ENSDARG00000000380	pde6a	2.87854920398629	0.752377122228483	1.2227004272115	0.103080556928666	NA	FALSE	FALSE	not DE
ENSDARG00000000394	ENSDARG00000000394	matr3l1.1	220.339667743275	0.96057507457347	0.588218282566037	0.00412533727015896	0.0297080459613776	FALSE	FALSE	not DE
