gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000012381	ENSDARG00000012381	hsc70	10.6639725301274	-8.69097640139142	1.62936607861369	1.470560824392e-08	4.73011545168856e-06	FALSE	FALSE	down-regulated
ENSDARG00000115161	ENSDARG00000115161	CABZ01069162.1	11.5471477208258	-8.46759159401697	1.41340301912217	4.74534780342674e-10	2.03864767317685e-07	FALSE	FALSE	down-regulated
ENSDARG00000105175	ENSDARG00000105175	CR547131.1	6.21732656569168	-7.3717453830648	2.01595835766141	1.87608895711243e-06	0.000407525505151461	FALSE	FALSE	down-regulated
ENSDARG00000098397	ENSDARG00000098397	FP016106.1	4.80133387671411	-5.78800904399321	2.95021595036855	3.24370817659596e-05	0.00455918176149109	FALSE	FALSE	down-regulated
ENSDARG00000052011	ENSDARG00000052011	rrad	55.6140617068382	-5.63091076038316	0.84340220728648	7.82398494649478e-13	5.23455888860287e-10	FALSE	FALSE	down-regulated
ENSDARG00000101463	ENSDARG00000101463	si:dkey-176f19.1	6.1128647463376	-5.0028997478466	2.97083815957277	5.4895653760786e-05	0.00706295926771467	FALSE	FALSE	down-regulated
ENSDARG00000100632	ENSDARG00000100632	BX649328.1	19.5826044560165	-4.93795171478461	1.12256776150447	2.90598665905412e-08	8.83736961078894e-06	FALSE	FALSE	down-regulated
ENSDARG00000101385	ENSDARG00000101385	f8	43.2172525589987	-4.71221528800183	0.992092209208846	4.1004753910407e-09	1.55873980433061e-06	FALSE	FALSE	down-regulated
ENSDARG00000015891	ENSDARG00000015891	ptprea	17.2140826428973	-4.59265853854107	0.980549469384263	4.63856539171257e-09	1.68662271177792e-06	FALSE	FALSE	down-regulated
ENSDARG00000110137	ENSDARG00000110137	si:dkey-240e12.6	5.85749558090612	-4.48507837385624	2.08596217061136	2.13415855389699e-05	0.00333606878247486	FALSE	FALSE	down-regulated
ENSDARG00000084991	ENSDARG00000084991	BX284638.1	2.88128110363823	-4.39943602480673	2.999141274903	8.72149847454002e-05	0.0101060648958081	FALSE	FALSE	not DE
ENSDARG00000079241	ENSDARG00000079241	wdr90	41.4133247655215	-4.36081290651536	1.51993200989481	3.85637403052406e-06	0.000750019907378436	FALSE	FALSE	down-regulated
ENSDARG00000089399	ENSDARG00000089399	tmem176l.2	3.78627365730454	-4.25545559560053	2.90801929045723	8.89504958099162e-05	0.0101209931490929	FALSE	FALSE	not DE
ENSDARG00000074558	ENSDARG00000074558	cntnap2b	21.4201759496367	-3.61928476488512	2.00155393808254	4.70117629118111e-05	0.0062406249719282	FALSE	FALSE	down-regulated
ENSDARG00000093992	ENSDARG00000093992	si:ch211-279g13.1	10.9003230939258	-3.47813982313631	2.13882946620949	7.07006920744862e-05	0.00850748040027235	FALSE	FALSE	down-regulated
ENSDARG00000104692	ENSDARG00000104692	CR848705.2	11.7190928272265	-3.36899835545862	1.35324833286345	1.1686527111545e-05	0.00199458012722145	FALSE	FALSE	down-regulated
ENSDARG00000095678	ENSDARG00000095678	ftr38	3.88217749599401	-3.25560061946246	3.0714080482848	0.000243017463329584	0.0225817227313923	FALSE	FALSE	not DE
ENSDARG00000042698	ENSDARG00000042698	si:dkey-15j16.6	12.430315723778	-3.25250963142793	1.86446113441228	5.980448595996e-05	0.0076358002455442	FALSE	FALSE	down-regulated
ENSDARG00000023840	ENSDARG00000023840	pfkfb2a	10.4142531107073	-3.13387580662823	1.42107055061757	2.52506588610522e-05	0.00380488756855819	FALSE	FALSE	down-regulated
ENSDARG00000101166	ENSDARG00000101166	BX005396.3	5.3692463669646	-3.03787599683221	2.03376616772271	0.000106537113552877	0.0118009255714266	FALSE	FALSE	not DE
ENSDARG00000059960	ENSDARG00000059960	plch2a	23.0129848460731	-2.9457309644629	1.18728987374904	1.66282865500696e-05	0.00270024000812101	FALSE	FALSE	down-regulated
ENSDARG00000075619	ENSDARG00000075619	cenpo	10.3605478114263	-2.940161547518	2.28664557667974	0.000166030322334696	0.0167290552492176	FALSE	FALSE	not DE
ENSDARG00000019338	ENSDARG00000019338	adprhl2	8.50970880748986	-2.92822941625692	2.30077233071794	0.000171148638833733	0.0170317733440723	FALSE	FALSE	not DE
