gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000000001	ENSDARG00000000001	slc35a5	30.7816938407067	-1.44472795297022	0.600359696759072	0.0111755511575972	0.0298530474373212	FALSE	FALSE	not DE
ENSDARG00000000002	ENSDARG00000000002	ccdc80	2.03777042765201	0.4806837747187	1.35160879509376	0.641123849954168	0.710424472609901	FALSE	FALSE	not DE
ENSDARG00000000018	ENSDARG00000000018	nrf1	18.5281426437625	1.34907741618196	0.60833730728461	0.0192470878803645	0.045639395634169	FALSE	FALSE	not DE
ENSDARG00000000019	ENSDARG00000000019	ube2h	75.2168180767506	0.0699874840359976	0.45065560300744	0.873070084743279	0.904854825078146	FALSE	FALSE	not DE
ENSDARG00000000068	ENSDARG00000000068	slc9a3r1a	24.441250226557	-1.53572004152018	0.530058512340876	0.00252735977812957	0.00906186985806282	FALSE	FALSE	not DE
ENSDARG00000000069	ENSDARG00000000069	dap	15.9962545595525	3.05073838765083	0.892528762253615	0.000117641965705063	0.000753742609373748	FALSE	FALSE	up-regulated
ENSDARG00000000086	ENSDARG00000000086	itsn1	25.2689835814697	-1.85845942462535	0.788441943751108	0.00970602547899854	0.0266361137126233	FALSE	FALSE	not DE
ENSDARG00000000103	ENSDARG00000000103	myh10	18.2883987511797	-0.43506560975523	0.804642405284984	0.553146897424824	0.63231140853743	FALSE	FALSE	not DE
ENSDARG00000000142	ENSDARG00000000142	tmem267	5.58728508732612	0.450475243462735	0.877900620898481	0.566565413037889	0.643972642303144	FALSE	FALSE	not DE
ENSDARG00000000151	ENSDARG00000000151	thraa	7.84152234336943	-1.06904428240053	0.90340812144736	0.182896914440579	0.264331530835719	FALSE	FALSE	not DE
ENSDARG00000000161	ENSDARG00000000161	itsn2a	3.46148466818545	1.98581360862084	1.14928245963752	0.0367045119252674	0.0748215231172923	FALSE	FALSE	not DE
ENSDARG00000000175	ENSDARG00000000175	hoxb2a	0.653199632923849	0.391393191848868	1.58804374381531	0.717934650908609	NA	FALSE	FALSE	not DE
ENSDARG00000000183	ENSDARG00000000183	ptpn4b	69.6412241411847	-1.74568431285141	0.78023546991443	0.0143250298914037	0.0362420934529679	FALSE	FALSE	not DE
ENSDARG00000000189	ENSDARG00000000189	sema6e	20.1785697254107	-2.19448696957744	0.637159788713806	0.000245742718900883	0.00138457396770374	FALSE	FALSE	down-regulated
ENSDARG00000000212	ENSDARG00000000212	krt97	48.9499930964049	3.48239072056973	1.17736386546804	0.000371619758927599	0.0019360081555054	FALSE	FALSE	up-regulated
ENSDARG00000000229	ENSDARG00000000229	usp49	2.86369037155397	1.35357688731899	1.19749715960877	0.164249331940278	0.243551405763948	FALSE	FALSE	not DE
ENSDARG00000000241	ENSDARG00000000241	slc40a1	1.13509947484086	1.1985827753164	1.47560270982253	0.265808071325428	NA	FALSE	FALSE	not DE
ENSDARG00000000324	ENSDARG00000000324	dcaf8	36.653330510193	0.490096242137402	0.491983642898395	0.302728520009169	0.393829185322936	FALSE	FALSE	not DE
ENSDARG00000000369	ENSDARG00000000369	prkag3b	0.439873441469658	0.431348422283839	2.08983541551989	0.664543328569752	NA	FALSE	FALSE	not DE
