gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000103093	ENSDARG00000103093	alg14	7.89517890556252	-2.64810767534537	1.84984035594243	0.000123818744619957	0.025811537579853	FALSE	FALSE	not DE
ENSDARG00000052104	ENSDARG00000052104	atg4b	8.92802991985515	-2.55158565889383	1.60314764190009	0.000267411128518891	0.0346281302327837	FALSE	FALSE	not DE
ENSDARG00000033413	ENSDARG00000033413	acot18	18.5435052401693	-2.28538297454911	1.80527734067212	0.000299693754679174	0.0367237948236206	FALSE	FALSE	not DE
ENSDARG00000078016	ENSDARG00000078016	dtx4b	8.11726821143921	-2.01042012267913	1.82902099421535	0.000420638648491003	0.0430573732760123	FALSE	FALSE	not DE
ENSDARG00000087394	ENSDARG00000087394	tshz3a	16.9472862493044	-1.98509414051913	1.54826678513696	0.000977778761758469	0.0685700006817882	FALSE	FALSE	not DE
ENSDARG00000027491	ENSDARG00000027491	uros	41.8464321817587	-1.88220810128984	0.950317502186347	0.00071283389037234	0.0584850278910069	FALSE	FALSE	not DE
ENSDARG00000042496	ENSDARG00000042496	parp12a	43.9124128982528	-1.83758620484348	0.76839293256606	0.000400085878317619	0.0422785145318865	FALSE	FALSE	not DE
ENSDARG00000093704	ENSDARG00000093704	si:dkeyp-46h3.8	22.443786451202	-1.76959077259358	0.837371092907746	0.000636060117942894	0.0537843666687733	FALSE	FALSE	not DE
ENSDARG00000029353	ENSDARG00000029353	serpine2	41.3921683578704	-1.73946450647104	0.969398226889882	0.00104279813304523	0.0707498669298837	FALSE	FALSE	not DE
ENSDARG00000043510	ENSDARG00000043510	vamp4	9.71209324209019	-1.68048941605863	1.55099459880553	0.00172115359455761	0.0880902801633579	FALSE	FALSE	not DE
ENSDARG00000077364	ENSDARG00000077364	mapk9	21.2018072135084	-1.664820436218	1.25496906538751	0.00201303031266821	0.096160221335813	FALSE	FALSE	not DE
ENSDARG00000069009	ENSDARG00000069009	si:ch211-147a11.3	41.3815713866427	-1.63193382676396	1.02486169357106	0.00152194451512013	0.0826804066258649	FALSE	FALSE	not DE
ENSDARG00000040156	ENSDARG00000040156	grm4	6.25820967689668	-1.62471391070296	1.6760223970065	0.00129309669778539	0.0771527233291435	FALSE	FALSE	not DE
ENSDARG00000031809	ENSDARG00000031809	rbm24b	8.2071309133047	-1.57068695141731	1.75869976280061	0.000855576160199133	0.0631310515647744	FALSE	FALSE	not DE
ENSDARG00000059951	ENSDARG00000059951	pld6	8.46195850099316	-1.55581780021737	1.70244449347061	0.00120492720351711	0.0759857756653588	FALSE	FALSE	not DE
ENSDARG00000016481	ENSDARG00000016481	ptpn2a	28.2800180639436	-1.51600157015319	1.29332094833252	0.00282269124685024	0.11236402044869	FALSE	FALSE	not DE
ENSDARG00000073724	ENSDARG00000073724	nlrx1	12.4168358062093	-1.51542527847226	1.24421159328046	0.00274785481079667	0.11236402044869	FALSE	FALSE	not DE
ENSDARG00000014161	ENSDARG00000014161	ercc4	17.5968651779442	-1.49963683013921	1.1627271840245	0.00261197066478835	0.109235255662044	FALSE	FALSE	not DE
ENSDARG00000043511	ENSDARG00000043511	prdx6	25.3283059430771	-1.49617978361314	1.07202627512084	0.00227332075484297	0.103095575835664	FALSE	FALSE	not DE
ENSDARG00000077314	ENSDARG00000077314	mblac1	15.5634341947803	-1.46309133857482	1.45753034502907	0.00291654192912672	0.113513255236354	FALSE	FALSE	not DE
ENSDARG00000040523	ENSDARG00000040523	smpd2a	11.1909601349297	-1.45017443852993	1.46868353655386	0.00293249881762312	0.113513255236354	FALSE	FALSE	not DE
ENSDARG00000099227	ENSDARG00000099227	galnt13	7.94964659843685	-1.41522899806397	1.66473138583963	0.00154621899253804	0.0826804066258649	FALSE	FALSE	not DE
ENSDARG00000088202	ENSDARG00000088202	sh3d19	13.5894272483835	-1.40962329744547	1.27685670613648	0.00350990962160161	0.121843117976873	FALSE	FALSE	not DE
ENSDARG00000099563	ENSDARG00000099563	inpp5ka	6.68821015781459	-1.37399425624626	1.42021911579386	0.00357803558439803	0.12289922204898	FALSE	FALSE	not DE
ENSDARG00000089567	ENSDARG00000089567	patl2	23.0552429685093	-1.34441697366964	0.83059528113504	0.00169784202708671	0.0877327216688844	FALSE	FALSE	not DE
ENSDARG00000043727	ENSDARG00000043727	cwc27	13.9598163668592	-1.3371374100731	1.13824209608825	0.00363373074392315	0.123985200113289	FALSE	FALSE	not DE
ENSDARG00000036764	ENSDARG00000036764	hax1	10.4464454434066	-1.31653343377406	1.39165699408423	0.00409405117413496	0.129420182410596	FALSE	FALSE	not DE
ENSDARG00000060580	ENSDARG00000060580	tasp1	5.5301651767284	-1.30978570952165	1.3707481955038	0.00422707513650581	0.131821593393429	FALSE	FALSE	not DE
ENSDARG00000105035	ENSDARG00000105035	anapc2	9.21324407001453	-1.29564580568065	1.42368222847604	0.00406552131054938	0.129278766407647	FALSE	FALSE	not DE
ENSDARG00000004979	ENSDARG00000004979	elovl5	10.3078279126318	-1.27309260395668	1.59116754352835	0.00235147323703807	0.10448708306106	FALSE	FALSE	not DE
ENSDARG00000090957	ENSDARG00000090957	CU469420.2	6.60184780990202	-1.26960512666021	1.50187514955849	0.00349076935742061	0.121843117976873	FALSE	FALSE	not DE
ENSDARG00000102471	ENSDARG00000102471	trak2	22.2645502120134	-1.21517646073026	1.10435110664997	0.00459457486091107	0.135666182980968	FALSE	FALSE	not DE
ENSDARG00000089515	ENSDARG00000089515	si:dkeyp-46h3.5	9.82075360735503	-1.20880778884438	1.6387218588672	0.00154538927733648	0.0826804066258649	FALSE	FALSE	not DE
ENSDARG00000086405	ENSDARG00000086405	mterf2	18.7422105728513	-1.20727229498137	1.48882865841449	0.00385614513171073	0.12690278519622	FALSE	FALSE	not DE
ENSDARG00000016085	ENSDARG00000016085	mbnl3	7.06711253889894	-1.1929715982896	1.57991182018127	0.00242546012552639	0.104694158350031	FALSE	FALSE	not DE
ENSDARG00000077607	ENSDARG00000077607	dus2	9.75364315381156	-1.1677529846091	1.26420564455154	0.00585530063280215	0.153869856238038	FALSE	FALSE	not DE
ENSDARG00000104222	ENSDARG00000104222	inppl1a	21.398386604254	-1.13172308139016	1.1900156615598	0.00617957487062051	0.157388793150306	FALSE	FALSE	not DE
ENSDARG00000077620	ENSDARG00000077620	cdca7a	397.470934553957	-1.12412663409442	0.427902707840271	0.000300678632720377	0.0367237948236206	FALSE	FALSE	not DE
