Sample_Name,Sample_ID,Replicate,Genotype,Stage,Stage_ID,Sample_Group,Date of collection,Date of processing,IAA_processing
WT_A1_filtered,1,1,WT,256c,A,1,20211126,20220117,yes
WT_B1_filtered,2,1,WT,1000c,B,1,20211126,20220117,yes
WT_C1_filtered,3,1,WT,Oblong,C,5,20211130,20220117,yes
WT_D1_filtered,4,1,WT,Sphere,D,5,20211130,20220117,yes
miR430_A1_filtered,5,1,miR430,256c,A,2,20211221,20220117,yes
miR430_B1_filtered,6,1,miR430,1000c,B,2,20211221,20220117,yes
miR430_C1_filtered,7,1,miR430,Oblong,C,1,20211210,20220117,yes
miR430_D1_filtered,8,1,miR430,Sphere,D,1,20211210,20220117,yes
WT_A2_filtered,9,2,WT,256c,A,2,20211126,20220119,yes
WT_B2_filtered,10,2,WT,1000c,B,2,20211126,20220119,yes
WT_C2_filtered,11,2,WT,Oblong,C,6,20211205,20220119,yes
WT_D2_filtered,12,2,WT,Sphere,D,6,20211205,20220119,yes
miR430_A2_filtered,13,2,miR430,256c,A,5,20220105,20220119,yes
miR430_B2_filtered,14,2,miR430,1000c,B,7,20220111,20220119,yes
miR430_C2_filtered,15,2,miR430,Oblong,C,3,20220103,20220119,yes
miR430_D2_filtered,16,2,miR430,Sphere,D,4,20220104,20220119,yes
WT_A3_filtered,17,3,WT,256c,A,3,20211126,20220202,yes
WT_B3_filtered,18,3,WT,1000c,B,3,20211126,20220202,yes
WT_C3_filtered,19,3,WT,Oblong,C,7,20211206,20220202,yes
WT_D3_filtered,20,3,WT,Sphere,D,7,20211206,20220202,yes
miR430_A3_filtered,21,3,miR430,256c,A,6,20220107,20220202,yes
miR430_B3_filtered,22,3,miR430,1000c,B,9,20220201,20220202,yes
miR430_C3_filtered,23,3,miR430,Oblong,C,8,20220112,20220202,yes
miR430_D3_filtered,24,3,miR430,Sphere,D,8,20220112,20220202,yes
WT_A4_filtered,25,4,WT,256c,A,4,20211129,20220128,no
WT_B4_filtered,26,4,WT,1000c,B,4,20211129,20220128,no
WT_C4_filtered,27,4,WT,Oblong,C,8,20211206,20220128,no
WT_D4_filtered,28,4,WT,Sphere,D,8,20211206,20220128,no
